,r,b,tau,kk,__lnsigma
25231,2.152739277692624e-11,139.25005698811404,30.982404754225172,-1.0973942605088037e-12,-4.907738453797401
26253,2.1487961527403415e-11,139.11257838224518,31.224206619780276,-1.0798051608157319e-12,-4.829297686039669
20128,2.1216472512994692e-11,137.45591769231763,30.769928256327347,-1.0957713227673994e-12,-4.888921992889412
15631,2.0048871087006872e-11,141.709091587001,30.31798439855253,-1.0123321650019657e-12,-5.015318912887632
22931,2.4338011286589653e-11,115.21955448290348,30.66284660712965,-1.1624190320313354e-12,-4.913539150109481
24182,2.236867844983655e-11,140.95004924974106,31.635141215820656,-1.1669458714424127e-12,-4.901520422547694
18710,2.1055753140183397e-11,141.99165704572852,30.457186770310265,-1.1254234738594929e-12,-4.8494232672732815
27012,2.3231100006606903e-11,122.03454433692241,30.29733599237508,-1.1655272947044623e-12,-4.837146062818047
24435,1.9655397217900433e-11,147.0312036958805,30.740468879657055,-9.817561196843993e-13,-4.856068302471565
20839,2.2299160511773352e-11,126.03901856924232,30.935839550732872,-1.0432211068969182e-12,-4.92676722277346
28060,2.243626833012783e-11,135.59434759226744,31.008115594257053,-1.1839237508539802e-12,-4.907258192385835
20364,2.2336515059813768e-11,124.22704980490103,30.226469746092828,-1.1148159032050734e-12,-4.80656491296109
28155,1.7739020646836997e-11,172.28242882587656,30.811990627281375,-9.199065511896001e-13,-4.8207020169445425
17750,2.52484145390632e-11,105.52048936015308,30.455402674066804,-1.1632191733474233e-12,-4.843042051290696
18946,1.9500192707781103e-11,157.09372195064807,31.038844349204698,-1.0372502938075078e-12,-4.761784309550547
17682,2.2062576481946596e-11,122.23637578322418,30.157745122178216,-1.0368046607196335e-12,-5.001982456091985
18927,2.0031703477861214e-11,142.08818441417037,30.447514674834544,-9.796481555366423e-13,-4.934885985165429
27632,2.1214284323071478e-11,134.2876151064182,30.09118708788158,-1.0956603395660076e-12,-4.836146891438501
27678,2.1750727765550034e-11,145.76284671926723,32.26249479263725,-1.100185424210883e-12,-4.9252659257656655
15456,2.3719306016374354e-11,127.69059528542283,32.47815648623246,-1.1050806890590264e-12,-4.835364231503336
22931,2.4338011286589653e-11,115.21955448290348,30.66284660712965,-1.1624190320313354e-12,-4.913539150109481
17320,2.2873002079552996e-11,121.43884714041761,30.323412278883147,-1.0500478697883394e-12,-4.835284536584744
18165,1.989558244461646e-11,142.08275117734217,30.544868644826817,-9.606439273268505e-13,-4.857862657610255
27635,2.154619532775461e-11,130.59015421293913,30.05511535534149,-1.0917285712649758e-12,-4.951422931221985
25851,2.2185858815143328e-11,121.03228259092151,30.210833240842835,-1.0519996203489213e-12,-5.003154966358917
15732,2.096894993963182e-11,131.02545328598035,30.0877449181378,-1.0032734421574923e-12,-4.93367769272952
20096,2.0565573617067864e-11,139.81085749087407,30.504053601551536,-9.5114223888145e-13,-4.820139331996035
25326,2.5803162428216317e-11,100.56059264715543,30.068728990163798,-1.1344135065132708e-12,-4.98426584035662
28103,2.301732240468968e-11,127.79982651083614,31.10782104908939,-1.1036386964441937e-12,-4.914934429600793
25077,2.2002901023276878e-11,130.89328840897352,30.78401714331791,-1.0906376870284436e-12,-4.98578326723388
15892,2.1861921147300617e-11,129.6944773946951,30.589869998632178,-1.0859667778738545e-12,-4.747232958231392
16428,2.0449890442357224e-11,141.80588777795109,30.524568758248716,-1.0378211949080266e-12,-4.93840129921475
15288,2.5606530391082902e-11,110.84802617032535,30.577700166105036,-1.328508871537577e-12,-4.905661250838378
16140,2.3821062732252177e-11,120.74170278231958,30.667796608182456,-1.2227331331152266e-12,-4.974575125101875
19912,1.9549012635859296e-11,158.0131850041021,30.580527843909636,-1.0335368621637392e-12,-4.831328552426655
18934,2.3956491820161753e-11,123.69819495624594,32.11420823675244,-1.1618434310483676e-12,-4.984208315910769
25304,2.1562160510700707e-11,139.3134345569379,31.577781483047662,-1.0534378109227852e-12,-5.017307719734828
15564,2.093216569008172e-11,137.43248089086333,30.698422783550576,-1.033459898227995e-12,-4.825232096705853
