,ki,kb,__lnsigma
95,0.0942952456592807,0.010387912783756593,-5.770514347653816
96,0.08875875790969386,0.010874370091952414,-5.97533623685595
97,0.21290214530618604,-9.090967013457455,-3.8562293259830978
98,0.0926317675458482,0.009796105196323983,-5.807170795209274
99,0.29914013575584086,-8.302451535553583,-3.8413216218580555
100,0.09352413095836387,0.009525878939520779,-5.885267633616474
101,0.09159220913863682,0.011338071821606968,-5.924474809056676
102,0.09452661985661498,0.010567612902148995,-5.949771923024196
103,0.19253805478838149,-9.971860849541937,-3.8805971722403005
104,0.09084030735902901,0.011380868071504005,-5.9077713402194245
105,0.09356359128921522,0.009424083105635538,-5.847502097675259
106,0.09047859051532298,0.010204267060233366,-5.920785137497745
107,0.09313225746144732,0.01035068502293523,-5.857021156607151
108,0.0917400176480455,0.009859768368706051,-5.89878067811223
