,r,b,tau,kk
16924,1.3253652120820187e-11,164.479538990157,31.399557291945708,-4.7009755328587515
23828,1.1693586442738538e-11,180.68447493182975,30.494214852888657,-5.676780050507775
17173,1.0612534516064874e-11,205.19934708484755,30.35245283085882,-7.560634777941594
16474,1.0239726863637086e-11,254.96326927478054,32.373083612663685,-11.312341708767871
18426,1.1826582414346946e-11,177.10461392476586,30.073475062105288,-5.9029854262705586
19077,1.0723914849818722e-11,258.13890489966735,34.01248150344275,-10.627721920779686
27178,1.16241133664769e-11,202.10132632214115,30.9566489824536,-8.084891523769873
23569,1.0954227087143979e-11,213.91990117904461,31.41522840852548,-7.74521696886469
21820,1.1765925096954004e-11,178.80747079137035,30.118381557424527,-6.290158180140443
21443,1.3140242089374925e-11,152.14414773249916,30.197223486037345,-4.165826359487351
20864,1.1837133399177102e-11,178.69660857356862,30.09582336569973,-5.654883597527809
26218,1.2346632791215629e-11,163.36699393250862,30.167790264338613,-4.885761881547286
20313,1.2125275911986124e-11,193.96004724136355,31.969338726819267,-6.940731635458565
25637,1.3302610858889245e-11,160.46034482878932,30.934895159540904,-4.752879754313019
22855,1.149760818350374e-11,192.45376721669044,31.25406513490256,-4.436116135999426
23721,1.2217943627959924e-11,168.82395949229013,30.10501885969693,-5.853177042374685
25610,9.89418087237289e-12,230.27374437606514,30.040665479510405,-10.184117679961927
15112,1.1036797374628412e-11,192.48114634846593,30.031356079084834,-6.889273375186305
15868,1.1382410132244871e-11,198.71133191579202,31.415168748615912,-6.31747250150098
23326,1.2746460458558074e-11,174.05889943303123,31.447844695386813,-5.5589354887002
27881,1.1992675904228802e-11,174.6812928084352,30.246147567559422,-6.012270150285817
26883,1.188721682929464e-11,186.371811540457,31.39971280125318,-6.04800767481082
15905,1.2826405227376864e-11,158.75772589602084,30.03481265482734,-4.687968422286104
19360,1.0664628226752472e-11,218.00747707867228,31.016399771365016,-8.45651271070902
24477,1.064729267625119e-11,228.15192087876042,32.144026980156866,-8.299904277949514
23578,1.2530485263547633e-11,164.25807861371297,30.53721084759802,-4.078723544417953
24984,1.050698356971684e-11,258.36489151771565,33.974605869830484,-10.303665250552424
24289,1.2518409170876753e-11,167.3437342111309,30.467885479100463,-4.529798344621835
25982,1.0880428079800056e-11,236.4062995697597,33.42075223521956,-8.662124341871197
24283,1.4489809984648008e-11,148.90222156213946,31.559992645647586,-3.8759858844154484
18037,1.406163937388547e-11,156.22765293056239,31.905191560630904,-4.372967997722223
27965,1.083968770732594e-11,209.05765315264472,30.786459162155925,-7.571427387122392
20037,1.1775040054372071e-11,212.75029505582228,32.545321113241535,-8.289106974819923
26188,1.1641872886511095e-11,216.48185352323756,32.22254798470292,-9.013917383253382
20843,1.2707303915906875e-11,172.6660961953026,31.58176568424973,-5.519956669149932
23345,1.220719187811161e-11,191.0539196173856,31.821730423871852,-6.451292565152598
15256,1.073508761690056e-11,207.08303013980364,30.98421481903727,-7.335367058432968
19815,1.0962795572236014e-11,220.67574197302002,31.438588632261443,-9.104790716882285
28266,1.1022662040759654e-11,193.6113424590277,30.240577772282162,-7.034303990519692
22272,1.1096882404142928e-11,205.72914178919214,31.67325583793915,-7.117382620701438
27808,1.2639295757608871e-11,181.88395595907264,31.868193880694545,-5.404356412416722
26399,1.1937787603062356e-11,205.8654370290052,32.38039575354073,-7.8111626113680765
25340,1.0571048216165871e-11,223.52095385172316,31.396795202782798,-8.658949637024083
27764,1.1088043020554703e-11,219.637728127285,31.565261417436094,-8.949525326874884
15672,1.3278556894912659e-11,159.66021052813397,31.080802364715833,-4.1886561160123295
23393,1.3020939726117624e-11,188.82026370696647,33.151751249051316,-5.883349326723726
17752,1.1191784333373548e-11,201.36696867434827,30.6898973820379,-7.678143857139575
16817,1.4124752231757403e-11,150.07979710966947,31.3476096203285,-3.7104676891962485
18878,9.643293188159484e-12,231.44609802764825,30.65290138547709,-8.512369454182341
18972,1.0895571854418347e-11,193.67465462809932,30.681240496541957,-5.549454883408227
23572,1.073731882202764e-11,207.45746407872457,30.867616089161977,-7.034588924155583
26867,1.1994195118786364e-11,195.20479112074491,31.191990123738552,-7.218616038585488
16543,1.3811119534019049e-11,148.8049701459371,30.027566763798614,-4.535978120310036
21871,9.576110905708819e-12,252.35954595785586,31.172973891081508,-9.940169722217483
16789,9.969283817206395e-12,229.41306723170115,30.810385684195353,-8.477708874668455
16601,1.3171098002409733e-11,149.35879060923307,30.185233958278516,-3.2352947307147506
20644,1.3647677576041831e-11,165.4437255900914,32.224305376351786,-4.260818016362426
22819,1.2481765211401995e-11,171.67548769975457,31.201700252437135,-5.143930832927893
22599,1.1701331224045843e-11,193.06314784116708,31.117124373041797,-7.028194301789003
26832,1.2726788142638191e-11,159.97840912229574,30.210962021594288,-4.034923247603826
26835,1.1292716409779293e-11,189.22385246511314,30.35403742947028,-6.134368752094435
24710,1.103074352377373e-11,202.70965581591437,30.60937664597673,-7.424529990506938
16471,9.38466879734981e-12,276.4081455924825,32.719779814775286,-11.260269372038639
25231,1.2252776706763977e-11,176.8731684080601,30.560747843546512,-6.659228673830394
26323,1.0887274981324113e-11,192.92919571400793,30.111605210256464,-6.552795290120919
15371,1.019626129530196e-11,215.7794545124156,30.27983114705984,-8.195679370109122
18100,1.1445702817063047e-11,192.5781006902904,30.673322880851774,-6.638012858243328
25722,1.1946389969476192e-11,177.75521045860526,30.221984243329644,-6.172264947903017
17074,1.3420421497820933e-11,166.1856002773938,31.808344663784677,-5.228610156729791
17375,1.2394091639579887e-11,175.84683597088434,30.9551185263624,-5.005484551910127
26189,1.0735745271017857e-11,216.67882220193982,31.048795673197038,-8.477225691972063
15086,1.2971580407732277e-11,156.8106186044256,30.191166387475842,-4.550841699325346
15139,1.2672851524389081e-11,171.92590629167577,30.624561451070274,-6.127336294303021
20200,1.164955637346679e-11,188.1629845558782,30.911391776097485,-6.954776761493362
20660,1.1377881119536423e-11,189.07123721242942,30.327346685221748,-6.653361281556243
21588,1.0064613413512557e-11,222.9723621359768,30.354760214174426,-8.301839834131332
19776,1.232329546142376e-11,201.90664984150544,31.945498945227683,-7.595466041330009
21858,1.2931054363217351e-11,158.86602258861734,30.113634707796287,-4.220859024871675
