,r,b,tau
24931,0.025887398936865483,265.7276719738848,64.32021503090692
27840,0.02887702142444707,267.4207092729766,69.72932595333509
25704,0.03074451573024892,172.18867312996773,62.241809462919356
22083,0.030055203547385202,222.75659604420886,67.03159575168434
21012,0.0292110928175694,146.31667395774002,57.00220290977599
15157,0.034185878852792964,215.39251995286492,67.58251919904646
27790,0.026585652223346606,213.6016047062386,61.179626021752
22105,0.031716025128183764,204.21207842753208,65.0285914239606
25935,0.030490516230420796,263.5253760627465,67.84365430163365
27689,0.03369556960044297,219.73565196127402,68.67987123175982
19952,0.0353381631853905,206.7528001581593,71.45170587263104
26255,0.040456930260046424,221.00068006583837,71.05316134745638
27122,0.03157917228586113,175.93610733884768,60.25943373721133
20258,0.03252909510855552,201.64423411809932,64.25897885392015
22823,0.03171517770099634,248.36941717079398,69.4105304319622
22675,0.030244970271644953,252.013788485797,67.31763480042488
24236,0.029598370182681098,337.86121897305713,75.79400953150609
21370,0.030873505718131314,151.31961211900136,57.00177760796092
17906,0.03275594421620664,228.19357751339732,66.03718331606888
17303,0.03139756384108848,204.7835842918412,65.42689472174281
26400,0.037894738334662524,287.09363909319626,76.68055416761419
22749,0.028961167252372244,163.28272821603406,53.92974902525902
22576,0.03183334694333537,214.2648173002587,67.09097833671079
15267,0.031986926515663136,200.21126609561648,65.12146084005737
15134,0.029405836825188228,227.77450864809447,64.47817716697429
18104,0.0324373378850059,167.8117376666762,60.172401518321536
18956,0.029440287869556603,246.45854020177944,67.349601619525
16487,0.027889480501310526,183.2247229841889,58.16276399311965
15025,0.027878013771840356,148.48996037240386,54.80748739375561
21905,0.032466814286711894,188.8897140186766,64.06104101011891
25065,0.030671024354090547,205.73790309479313,62.9933616951955
18092,0.031038807511621802,242.50476697069334,68.53925074699671
26409,0.027221312126956006,250.46968605043946,64.77213785954561
20316,0.03800411537894889,302.4042530414933,77.08802085425336
16999,0.03022910598049674,229.3617118398622,65.25185813518249
